"","strain","rep","beta","alpha","std_dev","AIC","N.obs","beta.sd","alpha.sd","z.sd","mttf","mttf.sd","sd.ttf","sd.ttf.sd"
"61","KBS0714",1,15.7031456236137,0.895927080762207,1.55169702438518,95.1956695750156,24,5.171298053669,0.121904191239677,0.223983160325915,16.563838690606,4.22642862012795,18.5227763166749,268.539105612676
"62","KBS0714",2,17.3497350985668,0.920857986883279,1.49478807207806,93.4039714748551,24,5.31729430750721,0.121293733442736,0.215756309339616,18.0338960853815,4.31529344958637,19.6041877803273,282.576050246906
"63","KBS0714",3,13.5581063827781,0.842355527950507,1.50524012696145,93.7378683893821,24,4.68210949837796,0.113801332410328,0.217268797602326,14.8349195392399,3.86324259483779,17.6956441784015,253.415667585484
"64","KBS0714",4,15.892136938892,0.905806886525179,1.56500015715344,95.6068868668269,24,5.2060219114822,0.123136645685204,0.225893166912903,16.6631979342088,4.25519658131862,18.4238585084993,264.783740846592
"65","KBS0715",1,0.000168733457962035,0.144662174884253,1.03617534135487,209.625538510555,70,NA,NA,NA,0.713501171568575,NA,39.4565281090946,NA
"66","KBS0715",2,0.000122111955379719,0.144324860383312,1.02225419129159,207.735725879127,70,NA,NA,NA,0.533359535420339,NA,29.8102009590234,NA
"67","KBS0715",3,5.74360853675006e-05,0.137914114340581,1.08495626780349,216.067128971644,70,NA,NA,NA,0.481991484709322,NA,33.3122018667828,NA
"68","KBS0715",4,0.000321860782762532,0.153906876709854,1.01887613653882,207.269921406325,70,0.000468520815212489,0.0158045247307909,0.0861102893936641,0.599284241101581,0.107401154832385,25.2224257388792,1878.20902605174
"69","KBS0721",1,0.812031532614833,0.318572308860505,0.982516789457468,193.774841183716,67,0.421707255162505,0.0253388461849453,0.0848760017381723,5.81741866231017,1.16363832394393,27.7476998635308,836.299010903999
"70","KBS0721",2,0.0841743441752453,0.24240160597916,1.2605961927689,227.164582981485,67,0.0811435657653974,0.0267646857780212,0.108905680634931,2.44429698742401,0.670019786511539,22.0110038692591,961.976909000191
"71","KBS0721",3,0.0115126004155363,0.209373394501207,1.26029272902989,227.135669419342,67,0.0131986549458782,0.0224651890777324,0.108875384309963,0.94731812590822,0.285767952670316,12.9831211229555,395.194045065867
"72","KBS0721",4,0.171264891451397,0.265117240079671,1.34960767553099,236.314149363414,67,0.153149360047379,0.0294814893023425,0.116586626045529,2.93246892006583,0.854464422390497,21.0333979216017,818.111097638247
