	strain	rep	beta	alpha	std_dev	AIC	N.obs	mean_days_death	sd_days_death	CI025_mean_days_death	CI975_mean_days_death	half_life
13	KBS0701	5	0.131806931731806	0.278002890499983	1.73975893289357	234.829508914809	58	1.7564957998223842	11.257902561862194	0.3375034078014971	9.141470644374307	0.03526743865871588
14	KBS0701	6	0.11861522072844001	0.288229408528618	1.3824279618358202	211.65222865963798	59	1.3225535022803587	7.807853652608557	0.29321064297592003	5.965498894041481	0.033257603275993995
15	KBS0702	1	10.553061858749	0.5310217062393139	0.8867794519302141	138.47109558188802	51	19.000868259961404	39.120375881402865	10.79860416700355	33.433302031348546	5.292087426909501
16	KBS0702	2	8.63697988475462	0.4840142977966121	0.818017013717281	130.23512361145902	51	18.375323457612865	43.02333905167467	9.664018560112012	34.93914152499145	4.050406475424431
17	KBS0702	3	7.18568453924163	0.41293819774255797	0.773732446759374	119.913191841697	49	21.926068286858644	65.36634587406209	9.515630649838828	50.522397118065015	2.9580121867818083
18	KBS0702	5	11.7509284130143	0.5110252810526551	0.827367285245788	126.485848763778	49	22.592801863872257	49.01098124854911	12.307664473909442	41.47291284566954	5.735766040142607
19	KBS0702	4	8.678054257728139	0.433604295014221	0.8896222236244922	136.19760359159798	50	23.438282357075465	64.6662998228153	10.9092818091041	50.35648445634107	3.7267138374529805
20	KBS0702	6	12.5026190162885	0.5420289370609109	0.8675146755416461	131.127998422537	49	21.776419325229877	43.62353733824855	12.427585789890863	38.15804989364792	6.358237041453479
21	KBS0703	1	3.0959043694727097	0.340640962042937	0.7142921759197549	116.413938253049	51	17.143001296152264	71.66447421257959	5.442621342160123	53.99649818799243	1.0556210347632977
22	KBS0703	2	204.76686729065497	0.9838158865887521	0.9026050929848599	140.278397610749	51	206.21390716283662	209.61437339931564	156.01206719454893	272.56978432530383	141.08039620101277
23	KBS0703	3	5.86542863003184	0.36703054000512897	0.579480566359455	91.5877599999787	49	25.17664864418985	91.70091227643984	9.07998798252997	69.80886298225828	2.1608158353271714
24	KBS0703	4	2.64128753116559	0.32430945606742895	0.554024147869495	85.5265562184569	48	17.61694418071526	81.06149625041454	4.792898981161403	64.75344535453415	0.8531099726383613
25	KBS0703	6	9.57779857995625	0.494935083542353	0.7280627845097719	67.6841899839353	28	19.522430226428174	44.28242879082191	8.42648465458351	45.22945184958556	4.567292203667351
26	KBS0703	5	16.0838616321163	0.609374351916796	1.01653680862307	80.63970393242491	26	23.722714945509907	40.91184052175165	12.225499073008507	46.032247929117126	8.814152304112254
27	KBS0705	1	4.742933406754821	0.4626294076421571	1.4538431210822498	110.003261504252	29	11.06663333232128	27.67351663691675	4.453985856299502	27.496803371934433	2.147742104339742
28	KBS0705	2	0.14301245319875	0.20873780887139604	1.47482707035669	179.515452476575	48	12.05643591047779	166.7971256317234	0.24068663610578858	603.929030773315	0.02470680350166149
29	KBS0705	3	0.994434362080044	0.285733178401649	1.28939176413509	166.62344569171302	48	11.563273305043078	69.61104593503555	2.1059416698116125	63.49144966540452	0.27574146111558956
