	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY
550.L1S310.s.1.sequence	42728.0	623	2090.0	19	0.0	0
550.L1S179.s.1.sequence	34597.0	554	2579.0	16	286.0	1
550.L1S229.s.1.sequence	33374.0	516	1027.0	13	2.0	1
550.L1S61.s.1.sequence	30971.0	552	3924.0	23	33.0	1
550.L1S287.s.1.sequence	46953.0	687	2640.0	21	0.0	0
550.L1S232.s.1.sequence	37753.0	592	2716.0	22	0.0	0
550.L1S228.s.1.sequence	35800.0	619	1016.0	12	6.0	1
550.L1S251.s.1.sequence	40707.0	609	3057.0	24	0.0	0
550.L1S312.s.1.sequence	48552.0	678	3285.0	22	0.0	0
550.L1S68.s.1.sequence	32304.0	409	2771.0	22	1.0	1
550.L1S212.s.1.sequence	36796.0	714	2353.0	22	203.0	2
550.L1S165.s.1.sequence	33614.0	486	630.0	9	209.0	1
550.L1S375.s.1.sequence	26942.0	478	1534.0	14	232.0	2
550.L1S108.s.1.sequence	40121.0	522	3930.0	16	0.0	0
550.L1S83.s.1.sequence	32766.0	478	3572.0	24	0.0	0
550.L1S280.s.1.sequence	48590.0	542	159.0	7	0.0	0
550.L1S199.s.1.sequence	47156.0	582	2464.0	16	444.0	1
550.L1S313.s.1.sequence	48307.0	787	1730.0	14	0.0	0
550.L1S98.s.1.sequence	36569.0	477	3009.0	18	1.0	1
550.L2S333.s.2.sequence	15290.0	1078	2014.0	13	5.0	2
550.L2S285.s.2.sequence	17248.0	963	1051.0	8	1.0	1
550.L2S284.s.2.sequence	23993.0	1102	1197.0	10	1.0	1
550.L2S162.s.2.sequence	18605.0	1197	686.0	10	5.0	4
550.L4S44.s.4.sequence	48827.0	1176	3427.0	12	7.0	3
550.L5S8.s.5.sequence	6299.0	364	1602.0	7	0.0	0
550.L3S66.s.3.sequence	4270.0	398	546.0	3	0.0	0
550.L3S170.s.3.sequence	3237.0	658	337.0	7	16.0	1
550.L3S328.s.3.sequence	5271.0	802	398.0	8	2.0	1
550.L4S148.s.4.sequence	48012.0	1492	745.0	7	7.0	4
550.L3S324.s.3.sequence	5286.0	1069	244.0	7	6.0	3
550.L2S101.s.2.sequence	16390.0	1005	692.0	10	43.0	3
550.L2S365.s.2.sequence	13454.0	1753	527.0	7	5.0	3
550.L3S290.s.3.sequence	5300.0	1101	141.0	9	1.0	1
550.L2S293.s.2.sequence	18421.0	1063	1627.0	14	5.0	2
550.L3S194.s.3.sequence	5676.0	850	1172.0	9	2.0	1
550.L3S164.s.3.sequence	2661.0	527	238.0	7	0.0	0
550.L4S70.s.4.sequence	29103.0	1047	2739.0	11	3.0	1
550.L4S252.s.4.sequence	30788.0	793	558.0	9	0.0	0
550.L5S24.s.5.sequence	5868.0	615	499.0	8	1.0	1
550.L2S158.s.2.sequence	14755.0	1812	298.0	7	20.0	9
550.L3S325.s.3.sequence	4731.0	964	227.0	5	5.0	4
550.L3S151.s.3.sequence	3779.0	255	390.0	6	1.0	1
550.L3S126.s.3.sequence	3209.0	468	234.0	3	1.0	1
550.L3S83.s.3.sequence	3962.0	665	245.0	7	1.0	1
550.L2S147.s.2.sequence	17505.0	919	699.0	8	11.0	3
550.L4S250.s.4.sequence	26094.0	911	409.0	11	3.0	2
550.L2S255.s.2.sequence	17804.0	1444	1371.0	10	5.0	2
550.L5S16.s.5.sequence	5429.0	693	355.0	6	3.0	1
550.L3S56.s.3.sequence	4613.0	632	127.0	5	3.0	2
550.L3S155.s.3.sequence	3329.0	844	144.0	2	3.0	3
550.L4S284.s.4.sequence	44115.0	1065	322.0	8	3.0	2
550.L3S138.s.3.sequence	3326.0	487	597.0	7	2.0	1
550.L3S358.s.3.sequence	5041.0	1097	147.0	8	2.0	2
550.L3S239.s.3.sequence	4533.0	941	389.0	8	4.0	3
550.L3S131.s.3.sequence	2850.0	740	250.0	5	0.0	0
550.L4S158.s.4.sequence	38937.0	1068	2614.0	15	6.0	2
550.L5S66.s.5.sequence	5952.0	784	1337.0	10	2.0	1
550.L4S208.s.4.sequence	38630.0	1433	796.0	8	2.0	2
550.L2S108.s.2.sequence	23865.0	1817	574.0	9	12.0	4
550.L2S256.s.2.sequence	18512.0	836	1540.0	9	2.0	2
550.L3S106.s.3.sequence	3361.0	243	533.0	5	0.0	0
550.L4S128.s.4.sequence	41962.0	1956	1329.0	15	1.0	1
550.L4S49.s.4.sequence	40428.0	924	3171.0	12	0.0	0
550.L2S246.s.2.sequence	23821.0	1300	1073.0	10	5.0	1
550.L2S299.s.2.sequence	12237.0	803	606.0	10	1.0	1
550.L3S252.s.3.sequence	4183.0	519	256.0	6	2.0	1
550.L4S286.s.4.sequence	33742.0	861	417.0	5	6.0	3
550.L2S170.s.2.sequence	18960.0	1904	299.0	11	5.0	2
550.L1S167.s.1.sequence	37101.0	586	3370.0	20	32.0	1
550.L1S135.s.1.sequence	36702.0	470	13.0	2	0.0	0
550.L3S320.s.3.sequence	5574.0	979	330.0	6	3.0	3
550.L2S263.s.2.sequence	18126.0	986	1662.0	10	1.0	1
550.L2S344.s.2.sequence	18029.0	932	2050.0	12	0.0	0
550.L2S125.s.2.sequence	14301.0	1488	616.0	10	9.0	3
550.L3S251.s.3.sequence	4353.0	859	301.0	4	1.0	1
550.L3S179.s.3.sequence	3276.0	490	434.0	5	4.0	3
550.L4S224.s.4.sequence	29251.0	1744	1637.0	14	13.0	4
550.L2S259.s.2.sequence	14802.0	601	737.0	5	9.0	1
550.L5S46.s.5.sequence	5197.0	744	526.0	7	2.0	2
550.L2S213.s.2.sequence	14705.0	1045	154.0	5	1.0	1
550.L3S278.s.3.sequence	6494.0	856	167.0	4	3.0	1
550.L4S225.s.4.sequence	36502.0	1025	3878.0	13	9.0	3
550.L5S21.s.5.sequence	5319.0	519	697.0	9	1.0	1
550.L1S78.s.1.sequence	29911.0	391	724.0	11	0.0	0
550.L1S18.s.1.sequence	20985.0	304	581.0	7	1.0	1
550.L1S65.s.1.sequence	33773.0	484	1815.0	16	0.0	0
550.L1S44.s.1.sequence	37637.0	633	4219.0	25	0.0	0
550.L1S144.s.1.sequence	39958.0	508	941.0	10	0.0	0
550.L1S156.s.1.sequence	34220.0	609	1914.0	13	127.0	1
550.L1S101.s.1.sequence	34021.0	516	1844.0	16	0.0	0
550.L1S113.s.1.sequence	34498.0	539	2478.0	17	0.0	0
550.L1S159.s.1.sequence	35627.0	596	4270.0	19	249.0	1
550.L6S330.s.6.sequence	38640.0	508	2418.0	20	0.0	0
550.L1S175.s.1.sequence	29712.0	644	712.0	10	173.0	1
550.L2S280.s.2.sequence	18956.0	740	1166.0	10	2.0	1
550.L1S325.s.1.sequence	36309.0	803	1754.0	15	0.0	0
550.L1S110.s.1.sequence	28272.0	559	3950.0	19	0.0	0
550.L1S97.s.1.sequence	43072.0	556	2214.0	17	0.0	0
550.L1S87.s.1.sequence	36478.0	440	4142.0	20	0.0	0
550.L2S6.s.2.sequence	32539.0	605	3072.0	24	169.0	1
550.L2S49.s.2.sequence	31757.0	556	2850.0	24	0.0	0
550.L1S119.s.1.sequence	39472.0	458	6009.0	26	0.0	0
550.L1S66.s.1.sequence	34594.0	407	1626.0	14	0.0	0
550.L1S126.s.1.sequence	34313.0	545	1503.0	17	0.0	0
550.L1S178.s.1.sequence	32394.0	721	1100.0	18	170.0	1
550.L1S264.s.1.sequence	39123.0	798	1259.0	15	0.0	0
550.L1S278.s.1.sequence	40007.0	703	2056.0	21	0.0	0
550.L1S196.s.1.sequence	43258.0	589	1574.0	15	139.0	1
550.L1S314.s.1.sequence	46265.0	690	1226.0	16	0.0	0
550.L1S309.s.1.sequence	36712.0	717	1267.0	11	0.0	0
550.L1S117.s.1.sequence	30123.0	431	1856.0	15	0.0	0
550.L1S198.s.1.sequence	43119.0	697	2077.0	20	476.0	1
550.L2S83.s.2.sequence	29462.0	527	1495.0	19	0.0	0
550.L2S16.s.2.sequence	45575.0	777	3543.0	19	258.0	1
550.L1S147.s.1.sequence	37163.0	655	2277.0	14	0.0	0
550.L1S143.s.1.sequence	34156.0	472	2204.0	12	0.0	0
550.L1S214.s.1.sequence	36062.0	765	2307.0	17	241.0	1
550.L1S182.s.1.sequence	30615.0	483	2095.0	17	58.0	1
550.L2S20.s.2.sequence	35233.0	590	2491.0	18	130.0	1
550.L1S236.s.1.sequence	39543.0	590	3248.0	22	0.0	0
550.L1S134.s.1.sequence	32043.0	468	27.0	4	0.0	0
550.L1S224.s.1.sequence	39387.0	616	1669.0	17	50.0	1
550.L1S311.s.1.sequence	43234.0	641	1737.0	17	0.0	0
550.L1S34.s.1.sequence	32165.0	488	3733.0	26	0.0	0
550.L1S125.s.1.sequence	28048.0	478	793.0	8	0.0	0
550.L1S116.s.1.sequence	32153.0	450	3136.0	19	0.0	0
550.L1S103.s.1.sequence	30788.0	499	2396.0	16	0.0	0
550.L1S169.s.1.sequence	29471.0	556	1534.0	18	114.0	1
550.L1S52.s.1.sequence	31338.0	476	1140.0	10	0.0	0
550.L1S24.s.1.sequence	31109.0	356	128.0	4	0.0	0
550.L1S4.s.1.sequence	21232.0	280	1.0	1	0.0	0
550.L1S239.s.1.sequence	42565.0	726	1180.0	16	0.0	0
550.L1S185.s.1.sequence	44044.0	558	4268.0	25	268.0	1
550.L1S351.s.1.sequence	40361.0	559	3422.0	20	1.0	1
550.L2S4.s.2.sequence	32946.0	513	4899.0	21	24.0	1
550.L3S136.s.3.sequence	3524.0	661	83.0	4	2.0	2
550.L2S82.s.2.sequence	28601.0	504	2786.0	23	0.0	0
550.L2S25.s.2.sequence	34105.0	644	1668.0	14	50.0	2
550.L2S84.s.2.sequence	25997.0	544	1706.0	16	0.0	0
550.L2S93.s.2.sequence	32981.0	424	1289.0	14	0.0	0
550.L2S29.s.2.sequence	33042.0	514	2411.0	17	5.0	1
550.L2S51.s.2.sequence	29777.0	489	2414.0	20	0.0	0
550.L2S24.s.2.sequence	43483.0	532	2390.0	19	76.0	1
550.L2S1.s.2.sequence	40246.0	556	1863.0	17	119.0	1
550.L2S91.s.2.sequence	35515.0	531	4332.0	27	0.0	0
550.L2S61.s.2.sequence	37037.0	524	1977.0	18	0.0	0
550.L2S17.s.2.sequence	35353.0	726	2300.0	17	197.0	1
550.L1S90.s.1.sequence	27197.0	533	3466.0	23	0.0	0
550.L2S373.s.2.sequence	16014.0	1309	787.0	13	6.0	3
550.L2S262.s.2.sequence	15706.0	1206	1551.0	13	3.0	3
550.L2S377.s.2.sequence	17692.0	1276	480.0	9	4.0	4
550.L2S230.s.2.sequence	19266.0	1735	276.0	9	6.0	2
550.L2S195.s.2.sequence	15839.0	1662	390.0	13	6.0	3
550.L2S326.s.2.sequence	14118.0	678	473.0	6	6.0	5
550.L2S118.s.2.sequence	16728.0	1349	1177.0	12	8.0	4
550.L4S235.s.4.sequence	23845.0	717	4213.0	12	10.0	3
550.L4S149.s.4.sequence	37664.0	1073	363.0	10	0.0	0
550.L3S346.s.3.sequence	4502.0	1155	40.0	3	4.0	3
550.L2S364.s.2.sequence	10248.0	884	1149.0	13	1.0	1
550.L4S270.s.4.sequence	31219.0	1215	987.0	11	7.0	1
550.L3S10.s.3.sequence	5329.0	369	151.0	4	1.0	1
550.L3S332.s.3.sequence	4226.0	929	172.0	5	2.0	1
550.L2S372.s.2.sequence	13608.0	1488	668.0	9	7.0	4
550.L2S139.s.2.sequence	21581.0	1279	207.0	7	14.0	4
550.L3S331.s.3.sequence	6070.0	1079	125.0	6	3.0	2
550.L4S275.s.4.sequence	30442.0	866	1122.0	13	10.0	2
550.L3S64.s.3.sequence	4192.0	801	431.0	7	3.0	3
550.L5S51.s.5.sequence	5376.0	669	564.0	10	5.0	1
550.L3S61.s.3.sequence	4038.0	706	77.0	4	3.0	3
550.L3S58.s.3.sequence	4211.0	429	76.0	6	0.0	0
550.L4S76.s.4.sequence	43077.0	670	368.0	4	2.0	2
550.L2S215.s.2.sequence	20303.0	1581	470.0	8	3.0	3
550.L4S136.s.4.sequence	43141.0	1600	3889.0	16	0.0	0
550.L2S328.s.2.sequence	12820.0	728	407.0	9	1.0	1
550.L3S261.s.3.sequence	5390.0	1206	101.0	4	2.0	2
550.L1S297.s.1.sequence	48862.0	729	1176.0	13	0.0	0
550.L2S11.s.2.sequence	29942.0	534	2023.0	13	122.0	1
550.L1S188.s.1.sequence	43077.0	643	2776.0	20	103.0	1
550.L1S300.s.1.sequence	40748.0	577	1288.0	17	0.0	0
550.L1S191.s.1.sequence	37549.0	585	1992.0	20	99.0	1
550.L1S260.s.1.sequence	34008.0	584	2068.0	18	0.0	0
550.L1S246.s.1.sequence	40131.0	574	2274.0	17	0.0	0
550.L2S90.s.2.sequence	35413.0	485	2083.0	16	0.0	0
550.L1S200.s.1.sequence	47628.0	587	3120.0	14	301.0	2
550.L1S338.s.1.sequence	47824.0	632	3972.0	20	0.0	0
550.L2S19.s.2.sequence	30602.0	565	2751.0	22	87.0	1
550.L1S186.s.1.sequence	42097.0	597	6482.0	28	219.0	1
550.L1S336.s.1.sequence	42091.0	634	3062.0	18	0.0	0
550.L1S219.s.1.sequence	40160.0	550	1426.0	15	18.0	1
550.L1S322.s.1.sequence	40719.0	543	1362.0	15	0.0	0
550.L2S77.s.2.sequence	30349.0	565	2592.0	23	0.0	0
550.L2S2.s.2.sequence	32949.0	724	4029.0	27	158.0	2
550.L1S266.s.1.sequence	36850.0	607	1925.0	13	1.0	1
550.L1S382.s.1.sequence	42341.0	576	1590.0	11	148.0	1
550.L1S371.s.1.sequence	35055.0	545	1614.0	18	220.0	1
550.L1S174.s.1.sequence	29551.0	512	1274.0	12	59.0	1
550.L1S190.s.1.sequence	35439.0	573	1952.0	21	249.0	1
550.L1S215.s.1.sequence	38194.0	615	1973.0	21	133.0	2
550.L1S195.s.1.sequence	42363.0	602	312.0	11	332.0	1
550.L1S364.s.1.sequence	42405.0	640	4846.0	21	101.0	1
550.L1S205.s.1.sequence	40313.0	576	670.0	9	101.0	3
550.L1S289.s.1.sequence	51680.0	699	2430.0	19	0.0	0
550.L1S381.s.1.sequence	43202.0	595	2754.0	21	157.0	1
550.L2S70.s.2.sequence	30332.0	576	1480.0	16	0.0	0
550.L1S193.s.1.sequence	48437.0	625	2730.0	19	115.0	1
550.L2S42.s.2.sequence	39762.0	603	3803.0	24	1.0	1
550.L1S213.s.1.sequence	38843.0	627	3400.0	22	178.0	1
550.L1S208.s.1.sequence	39975.0	600	1774.0	14	73.0	2
550.L1S254.s.1.sequence	38002.0	562	1676.0	13	0.0	0
550.L1S352.s.1.sequence	47478.0	633	4828.0	20	0.0	0
550.L1S271.s.1.sequence	44950.0	690	2600.0	17	1.0	1
550.L1S226.s.1.sequence	47264.0	663	1757.0	18	51.0	1
550.L1S253.s.1.sequence	38276.0	607	2134.0	12	1.0	1
550.L2S54.s.2.sequence	28596.0	451	1694.0	11	0.0	0
550.L1S268.s.1.sequence	37448.0	661	3154.0	19	0.0	0
550.L1S277.s.1.sequence	43255.0	659	1601.0	18	0.0	0
550.L1S257.s.1.sequence	29036.0	513	726.0	10	0.0	0
550.L1S273.s.1.sequence	47800.0	652	2171.0	16	1.0	1
550.L2S53.s.2.sequence	32104.0	540	1974.0	16	0.0	0
550.L2S55.s.2.sequence	35604.0	548	3734.0	17	0.0	0
550.L2S58.s.2.sequence	32867.0	472	512.0	10	0.0	0
550.L2S68.s.2.sequence	26881.0	507	998.0	12	0.0	0
550.L2S28.s.2.sequence	26940.0	534	783.0	15	2.0	1
550.L2S43.s.2.sequence	38003.0	572	1564.0	11	0.0	0
550.L1S380.s.1.sequence	35739.0	597	5024.0	24	122.0	3
550.L2S92.s.2.sequence	34549.0	505	1308.0	22	0.0	0
550.L2S261.s.2.sequence	13133.0	1110	2517.0	13	6.0	1
550.L3S258.s.3.sequence	5734.0	583	267.0	6	1.0	1
550.L2S235.s.2.sequence	20036.0	891	770.0	8	30.0	5
550.L3S87.s.3.sequence	4345.0	474	1100.0	10	0.0	0
550.L2S121.s.2.sequence	17246.0	1068	633.0	8	4.0	2
550.L2S253.s.2.sequence	13599.0	1035	494.0	7	6.0	2
550.L2S316.s.2.sequence	8020.0	698	633.0	8	1.0	1
550.L2S180.s.2.sequence	16491.0	1393	161.0	6	24.0	3
550.L3S259.s.3.sequence	4335.0	713	160.0	5	1.0	1
550.L2S175.s.2.sequence	22381.0	1003	1259.0	11	6.0	3
550.L2S183.s.2.sequence	17828.0	1399	382.0	6	1.0	1
550.L2S358.s.2.sequence	12983.0	1161	2077.0	13	0.0	0
550.L4S118.s.4.sequence	35657.0	1005	826.0	5	0.0	0
550.L2S311.s.2.sequence	12888.0	763	559.0	6	0.0	0
550.L2S115.s.2.sequence	17336.0	1813	416.0	9	15.0	5
550.L3S77.s.3.sequence	4808.0	742	125.0	5	1.0	1
550.L3S327.s.3.sequence	4788.0	802	156.0	6	1.0	1
550.L4S271.s.4.sequence	33796.0	1936	913.0	11	7.0	5
550.L3S67.s.3.sequence	5333.0	323	37.0	4	1.0	1
550.L3S139.s.3.sequence	3016.0	468	362.0	4	0.0	0
550.L3S305.s.3.sequence	5751.0	896	208.0	6	4.0	2
550.L3S247.s.3.sequence	6689.0	560	302.0	8	8.0	1
550.L3S6.s.3.sequence	5467.0	806	428.0	6	1.0	1
550.L3S91.s.3.sequence	4712.0	1063	260.0	9	4.0	3
550.L2S122.s.2.sequence	20086.0	1397	678.0	11	9.0	4
550.L4S104.s.4.sequence	35174.0	651	1211.0	11	0.0	0
550.L2S133.s.2.sequence	22326.0	1094	570.0	11	11.0	1
550.L3S187.s.3.sequence	3353.0	644	329.0	3	1.0	1
550.L3S267.s.3.sequence	4941.0	796	235.0	6	2.0	2
550.L3S209.s.3.sequence	5742.0	169	1256.0	6	0.0	0
550.L3S53.s.3.sequence	4718.0	554	380.0	7	1.0	1
550.L3S337.s.3.sequence	4945.0	590	123.0	4	1.0	1
550.L3S9.s.3.sequence	5828.0	950	558.0	7	0.0	0
550.L3S350.s.3.sequence	5152.0	611	78.0	5	1.0	1
550.L3S360.s.3.sequence	4933.0	858	62.0	5	1.0	1
550.L3S198.s.3.sequence	6215.0	634	1011.0	4	1.0	1
550.L3S340.s.3.sequence	4198.0	919	169.0	5	0.0	0
550.L3S123.s.3.sequence	4052.0	446	97.0	1	0.0	0
550.L4S141.s.4.sequence	33272.0	1033	462.0	5	7.0	1
550.L4S241.s.4.sequence	41320.0	819	2235.0	14	0.0	0
550.L1S114.s.1.sequence	36791.0	509	1989.0	22	0.0	0
550.L1S369.s.1.sequence	41396.0	817	2053.0	21	207.0	1
550.L1S223.s.1.sequence	35705.0	558	1808.0	17	15.0	1
550.L1S376.s.1.sequence	48071.0	732	2770.0	16	376.0	1
550.L1S73.s.1.sequence	35700.0	398	1164.0	12	0.0	0
550.L1S276.s.1.sequence	35277.0	590	2331.0	19	0.0	0
550.L1S75.s.1.sequence	31003.0	458	2359.0	19	0.0	0
550.L1S326.s.1.sequence	40134.0	645	2759.0	21	0.0	0
550.L1S35.s.1.sequence	31715.0	471	3613.0	19	0.0	0
550.L1S299.s.1.sequence	41054.0	569	1982.0	17	0.0	0
550.L1S84.s.1.sequence	37975.0	546	4282.0	23	0.0	0
550.L1S46.s.1.sequence	31760.0	539	1782.0	14	0.0	0
550.L1S177.s.1.sequence	40059.0	572	1193.0	13	94.0	1
550.L1S58.s.1.sequence	28552.0	426	1010.0	10	0.0	0
550.L1S80.s.1.sequence	43762.0	543	3356.0	29	0.0	0
550.L1S72.s.1.sequence	37818.0	472	1421.0	14	0.0	0
550.L1S138.s.1.sequence	39157.0	509	803.0	9	0.0	0
550.L1S106.s.1.sequence	36579.0	462	2940.0	17	0.0	0
550.L1S258.s.1.sequence	36233.0	704	1362.0	15	1.0	1
550.L1S26.s.1.sequence	29034.0	356	655.0	5	0.0	0
550.L1S124.s.1.sequence	24436.0	402	1511.0	12	0.0	0
550.L1S21.s.1.sequence	35203.0	357	893.0	9	0.0	0
550.L1S317.s.1.sequence	37585.0	682	1618.0	17	1.0	1
550.L1S285.s.1.sequence	44252.0	680	3757.0	20	1.0	1
550.L1S307.s.1.sequence	46910.0	534	2311.0	13	0.0	0
550.L1S150.s.1.sequence	40760.0	648	2739.0	13	0.0	0
550.L1S102.s.1.sequence	34166.0	517	2789.0	18	0.0	0
550.L1S347.s.1.sequence	34996.0	660	1459.0	15	0.0	0
550.L1S6.s.1.sequence	22383.0	349	11.0	2	0.0	0
550.L1S160.s.1.sequence	34687.0	590	4542.0	16	379.0	1
550.L1S137.s.1.sequence	43701.0	658	700.0	12	0.0	0
550.L1S282.s.1.sequence	40613.0	726	1459.0	18	0.0	0
550.L1S16.s.1.sequence	32760.0	358	1693.0	9	0.0	0
550.L1S128.s.1.sequence	43122.0	616	4453.0	22	0.0	0
550.L1S148.s.1.sequence	31506.0	555	2264.0	16	0.0	0
550.L1S123.s.1.sequence	28749.0	458	3031.0	17	0.0	0
550.L1S30.s.1.sequence	28557.0	363	796.0	9	0.0	0
550.L1S304.s.1.sequence	46558.0	558	742.0	5	0.0	0
550.L1S60.s.1.sequence	34095.0	524	2140.0	17	0.0	0
550.L1S204.s.1.sequence	36634.0	524	773.0	10	40.0	1
550.L1S335.s.1.sequence	49950.0	690	1382.0	10	0.0	0
550.L1S54.s.1.sequence	31776.0	403	2597.0	20	0.0	0
550.L1S79.s.1.sequence	27576.0	413	401.0	10	0.0	0
550.L1S37.s.1.sequence	37245.0	491	4029.0	24	0.0	0
550.L1S378.s.1.sequence	35857.0	702	1028.0	10	581.0	1
550.L1S82.s.1.sequence	27257.0	479	1762.0	15	0.0	0
550.L1S142.s.1.sequence	32821.0	460	995.0	14	0.0	0
550.L1S100.s.1.sequence	41738.0	475	2798.0	19	0.0	0
550.L1S292.s.1.sequence	43103.0	564	946.0	10	0.0	0
550.L1S13.s.1.sequence	30030.0	327	536.0	4	0.0	0
550.L1S372.s.1.sequence	15355.0	439	726.0	7	296.0	1
550.L1S25.s.1.sequence	36557.0	359	736.0	9	2.0	1
550.L1S261.s.1.sequence	37895.0	699	1275.0	15	0.0	0
550.L1S145.s.1.sequence	52989.0	685	4057.0	15	0.0	0
550.L1S218.s.1.sequence	49802.0	596	1540.0	16	57.0	1
550.L1S81.s.1.sequence	27682.0	315	1793.0	13	0.0	0
550.L1S136.s.1.sequence	41150.0	471	280.0	4	0.0	0
550.L1S57.s.1.sequence	41030.0	483	2958.0	18	0.0	0
550.L1S14.s.1.sequence	32351.0	355	1060.0	9	0.0	0
550.L1S306.s.1.sequence	46962.0	585	5225.0	16	3.0	1
550.L1S71.s.1.sequence	32505.0	399	1628.0	17	0.0	0
550.L1S107.s.1.sequence	29252.0	447	3884.0	22	0.0	0
550.L1S220.s.1.sequence	36486.0	616	2307.0	17	131.0	2
550.L1S222.s.1.sequence	43770.0	803	1749.0	19	537.0	3
550.L1S15.s.1.sequence	34910.0	335	1212.0	10	0.0	0
550.L1S132.s.1.sequence	34945.0	502	4608.0	25	0.0	0
550.L1S39.s.1.sequence	32298.0	394	1761.0	11	0.0	0
550.L1S104.s.1.sequence	39260.0	540	3125.0	24	0.0	0
550.L1S112.s.1.sequence	44364.0	484	5124.0	26	0.0	0
550.L1S115.s.1.sequence	30545.0	477	3022.0	16	0.0	0
550.L1S38.s.1.sequence	33690.0	437	1151.0	11	0.0	0
550.L1S12.s.1.sequence	42874.0	350	2371.0	9	0.0	0
550.L1S42.s.1.sequence	44319.0	483	846.0	8	0.0	0
550.L1S120.s.1.sequence	50466.0	503	3628.0	20	0.0	0
550.L1S11.s.1.sequence	28691.0	335	723.0	5	0.0	0
550.L1S154.s.1.sequence	35066.0	484	3050.0	13	0.0	0
550.L1S267.s.1.sequence	39036.0	567	1664.0	16	0.0	0
550.L1S152.s.1.sequence	44773.0	562	5145.0	17	0.0	0
550.L1S237.s.1.sequence	40012.0	631	3028.0	19	0.0	0
550.L1S76.s.1.sequence	37059.0	433	3741.0	17	1.0	1
550.L1S95.s.1.sequence	33543.0	451	3003.0	20	0.0	0
550.L1S231.s.1.sequence	47013.0	630	2578.0	20	0.0	0
550.L2S78.s.2.sequence	32897.0	533	1853.0	15	0.0	0
550.L2S26.s.2.sequence	29464.0	510	1993.0	12	21.0	1
550.L2S38.s.2.sequence	27037.0	497	1407.0	12	0.0	0
550.L2S75.s.2.sequence	30729.0	586	818.0	17	0.0	0
550.L2S41.s.2.sequence	44307.0	541	2650.0	19	0.0	0
550.L2S9.s.2.sequence	36168.0	581	3501.0	19	31.0	1
550.L2S40.s.2.sequence	27740.0	583	2020.0	16	0.0	0
550.L2S87.s.2.sequence	39881.0	538	2072.0	14	0.0	0
550.L2S10.s.2.sequence	23631.0	466	856.0	9	30.0	1
550.L2S13.s.2.sequence	30145.0	511	6056.0	23	137.0	1
550.L2S31.s.2.sequence	38419.0	643	2818.0	19	1.0	1
550.L1S263.s.1.sequence	31793.0	656	1497.0	13	0.0	0
550.L1S153.s.1.sequence	34183.0	502	1298.0	8	0.0	0
550.L1S279.s.1.sequence	34627.0	486	139.0	4	0.0	0
550.L1S149.s.1.sequence	39696.0	696	5491.0	16	0.0	0
550.L1S122.s.1.sequence	39266.0	550	5898.0	24	0.0	0
550.L1S345.s.1.sequence	40717.0	599	2787.0	23	0.0	0
550.L1S162.s.1.sequence	38143.0	564	2559.0	15	63.0	1
550.L1S331.s.1.sequence	39871.0	590	4503.0	23	0.0	0
550.L1S353.s.1.sequence	43449.0	628	1793.0	20	0.0	0
550.L1S241.s.1.sequence	38488.0	750	1419.0	13	0.0	0
550.L1S63.s.1.sequence	23023.0	389	664.0	6	0.0	0
550.L1S17.s.1.sequence	30674.0	337	957.0	6	0.0	0
550.L1S374.s.1.sequence	19563.0	468	1961.0	15	64.0	1
550.L1S89.s.1.sequence	38651.0	465	2406.0	19	0.0	0
550.L1S94.s.1.sequence	32159.0	482	3156.0	19	0.0	0
550.L1S67.s.1.sequence	32517.0	410	1281.0	14	0.0	0
550.L1S171.s.1.sequence	28886.0	519	2909.0	20	36.0	1
550.L1S51.s.1.sequence	26474.0	412	1320.0	17	0.0	0
550.L1S234.s.1.sequence	37485.0	605	2733.0	23	0.0	0
550.L1S53.s.1.sequence	34338.0	467	1859.0	22	0.0	0
550.L1S40.s.1.sequence	35635.0	487	1666.0	15	0.0	0
550.L1S56.s.1.sequence	30737.0	434	1161.0	13	0.0	0
550.L1S315.s.1.sequence	41055.0	567	3327.0	21	1.0	1
550.L1S194.s.1.sequence	43925.0	628	2000.0	16	114.0	1
550.L1S41.s.1.sequence	51225.0	537	3963.0	22	0.0	0
550.L1S166.s.1.sequence	31922.0	591	3854.0	20	70.0	1
550.L2S89.s.2.sequence	36968.0	444	2133.0	16	0.0	0
550.L2S47.s.2.sequence	33590.0	540	738.0	12	0.0	0
550.L2S39.s.2.sequence	37889.0	618	4664.0	20	0.0	0
550.L2S69.s.2.sequence	31065.0	506	1450.0	14	0.0	0
550.L2S33.s.2.sequence	34591.0	490	2001.0	17	0.0	0
550.L5S10.s.5.sequence	5925.0	464	500.0	12	0.0	0
550.L6S331.s.6.sequence	39196.0	497	599.0	12	0.0	0
550.L1S140.s.1.sequence	35072.0	506	2964.0	17	0.0	0
550.L1S291.s.1.sequence	43867.0	622	1499.0	15	0.0	0
550.L1S151.s.1.sequence	27124.0	399	678.0	10	0.0	0
550.L1S330.s.1.sequence	48300.0	633	7845.0	30	0.0	0
550.L1S29.s.1.sequence	26756.0	318	645.0	6	0.0	0
550.L1S48.s.1.sequence	30323.0	505	782.0	12	0.0	0
550.L1S19.s.1.sequence	31327.0	362	992.0	9	0.0	0
550.L1S139.s.1.sequence	31723.0	515	2121.0	15	0.0	0
550.L1S130.s.1.sequence	37189.0	443	1396.0	14	0.0	0
