	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY
10346.TW10.9.III	65723.0	1753	7.0	4	2.0	1
10346.SWBH.3	57126.0	2445	25.0	7	0.0	0
10346.P31	26589.0	1789	1.0	1	0.0	0
10346.AW11.1.III	23661.0	1039	3.0	2	0.0	0
10346.TW10.7.II	30047.0	630	1.0	1	0.0	0
10346.64	34881.0	1797	1.0	1	0.0	0
10346.BCD31SED	32857.0	3532	2.0	1	0.0	0
10346.11	49829.0	1350	3.0	2	0.0	0
10346.20.X.00.1.015	30785.0	1343	7.0	2	15.0	3
10346.AW11.4.II	35883.0	1801	15.0	2	1.0	1
10346.AW10.4.II	54742.0	1216	9.0	4	0.0	0
10346.AW10.10.III	43321.0	1840	37.0	5	1.0	1
10346.AW10.5.I	42838.0	1321	13.0	4	0.0	0
10346.SW.35	24489.0	489	0.0	0	1.0	1
10346.AW11.3.I	45624.0	1408	4.0	3	0.0	0
10346.AW11.2.I	47601.0	1765	15.0	4	0.0	0
10346.AW10.4.III	56084.0	1130	10.0	5	0.0	0
10346.IO5.1	51952.0	547	1.0	1	0.0	0
10346.TV11.3.7	67574.0	566	100.0	4	0.0	0
10346.TO11.2.19	46602.0	423	14.0	1	0.0	0
10346.P10X38	24501.0	294	205.0	4	166.0	3
10346.SWPRBV3	63281.0	1216	2.0	2	0.0	0
10346.4.VI.93.4.001	32048.0	500	0.0	0	11.0	3
10346.SWMX1.2	39569.0	851	1.0	1	0.0	0
10346.SW.241	39542.0	1202	0.0	0	2.0	2
10346.SI06.81	47905.0	1726	47.0	6	0.0	0
10346.AW11.1.I	64724.0	1664	17.0	4	0.0	0
10346.ALG12.112	18118.0	1011	0.0	0	2.0	1
10346.BCD11SED	39915.0	3319	0.0	0	12.0	2
10346.SH2H2O	77675.0	1241	2.0	2	0.0	0
10346.GC.2.4	58989.0	481	0.0	0	3.0	2
10346.SWBHMPV3	65237.0	1105	7.0	2	0.0	0
10346.IF5.31	46391.0	496	1.0	1	0.0	0
10346.P12x58	36074.0	456	0.0	0	1.0	1
10346.SI06.53	57692.0	1590	7.0	1	0.0	0
10346.114	42685.0	251	1.0	1	0.0	0
10346.PO10.4.18.1182329	46573.0	419	1.0	1	0.0	0
10346.IF2.WI	61022.0	1214	11.0	2	0.0	0
10346.TW10.11.II	50932.0	2816	7.0	2	2.0	2
10346.700.1181449	54169.0	1103	1.0	1	0.0	0
10346.TW11.2.III	43112.0	2177	11.0	3	0.0	0
10346.TW11.1.III	36691.0	1876	2.0	2	0.0	0
10346.AW10.9.III	53852.0	1478	8.0	4	0.0	0
10346.SI06.54	112215.0	456	4.0	1	0.0	0
10346.CL268	28708.0	283	0.0	0	2.0	1
10346.TW11.3.II	40061.0	1975	118.0	8	0.0	0
10346.AW10.9.I	44610.0	1394	9.0	3	0.0	0
10346.P81	38535.0	264	1.0	1	1.0	1
10346.ML2.water.gDNA	37443.0	612	1.0	1	0.0	0
10346.TW11.4.II	34686.0	2550	14.0	5	4.0	2
10346.GC.2.3	41369.0	530	0.0	0	5.0	2
