	N	N_genus
2192.H06a.Nose.3033.lane6.NoIndex.L006	67153.0	461.0
2192.H06b.Hand.3295.lane6.NoIndex.L006	66168.0	51.0
2192.H06b.Nose.3108.lane6.NoIndex.L006	83148.0	92.0
2192.H05b.Foot.2600.lane6.NoIndex.L006	65341.0	17.0
2192.H06b.Kitchen.Counter.3361.lane5.NoIndex.L005	48918.0	5.0
2192.H05b.Bedroom.Floor.2908.lane1.NoIndex.L001	68121.0	52.0
2192.H03a.Kitchen.Floor.1226.lane5.NoIndex.L005	129196.0	430.0
2192.H02a.Hand.607.lane2.NoIndex.L002	71553.0	11.0
2192.H02a.Kitchen.Counter.625.lane2.NoIndex.L002	54145.0	47.0
2192.H03a.Kitchen.Counter.1201.lane2.NoIndex.L002	93855.0	2.0
2192.H01a.Hand.16.lane1.NoIndex.L001	136828.0	11.0
2192.H07b.Front.Door.Knob.3869.lane2.NoIndex.L002	52269.0	1.0
2192.H07a.Kitchen.Counter.3721.lane2.NoIndex.L002	117039.0	18.0
2192.H04a.Hand.1810.lane6.NoIndex.L006	86886.0	101.0
2192.H05b.Hand.2938.lane5.NoIndex.L005	49858.0	97.0
2192.H01a.Nose.327.lane6.NoIndex.L006	17589.0	6.0
2192.H06b.Bedroom.Floor.3268.lane2.NoIndex.L002	69048.0	8.0
2192.H04a.Kitchen.Counter.1825.lane5.NoIndex.L005	89252.0	5.0
2192.H06b.Foot.3203.lane6.NoIndex.L006	68028.0	41.0
2192.H06b.Foot.3272.lane6.NoIndex.L006	59042.0	20.0
2192.H07a.Front.Door.Knob.3677.lane2.NoIndex.L002	99032.0	4.0
2192.H01a.Foot.257.lane2.NoIndex.L002	87661.0	91.0
2192.H05b.Kitchen.Light.Switch.2523.lane5.NoIndex.L005	54391.0	13.0
2192.H07a.Kitchen.Counter.3769.lane2.NoIndex.L002	104648.0	4.0
2192.H01a.Front.Door.Knob.53.lane1.NoIndex.L001	83282.0	45.0
2192.H04a.Dog.Nose.2109.lane6.NoIndex.L006	99980.0	73.0
2192.H07b.Foot.3848.lane6.NoIndex.L006	63087.0	33.0
2192.H05b.Hand.2623.lane5.NoIndex.L005	92220.0	30.0
2192.H06b.Hand.3271.lane6.NoIndex.L006	72262.0	14.0
2192.H05b.Kitchen.Light.Switch.2787.lane6.NoIndex.L006	78908.0	5.0
2192.H05b.Bedroom.Floor.2812.lane6.NoIndex.L006	57403.0	1.0
2192.H06b.Nose.3111.lane6.NoIndex.L006	64306.0	8.0
2192.H07a.Cat.Fur.3758.lane6.NoIndex.L006	92473.0	30.0
2192.H07b.Cat.Fur.3950.lane6.NoIndex.L006	71829.0	1.0
2192.H01a.Nose.132.lane6.NoIndex.L006	50916.0	48.0
2192.H02a.Kitchen.Floor.746.lane2.NoIndex.L002	105768.0	78.0
2192.H03a.Kitchen.Counter.1345.lane5.NoIndex.L005	122429.0	32.0
2192.H05b.Nose.2916.lane5.NoIndex.L005	88464.0	15.0
2192.H03a.Nose.1353.lane6.NoIndex.L006	52111.0	143.0
2192.H01a.Front.Door.Knob.245.lane2.NoIndex.L002	51193.0	4.0
2192.H05b.Kitchen.Floor.2498.lane5.NoIndex.L005	44049.0	123.0
2192.H06b.Foot.3248.lane6.NoIndex.L006	71981.0	70.0
2192.H04a.Front.Door.Knob.2093.lane2.NoIndex.L002	101749.0	513.0
2192.H01a.Foot.161.lane2.NoIndex.L002	85378.0	3.0
2192.H01a.Foot.299.lane2.NoIndex.L002	81169.0	17.0
2192.H03a.Kitchen.Counter.1225.lane5.NoIndex.L005	128517.0	83.0
2192.H03a.Foot.1334.lane6.NoIndex.L006	58805.0	17.0
2192.H03a.Bedroom.Floor.1372.lane5.NoIndex.L005	117096.0	28.0
2192.H02a.Kitchen.Counter.865.lane2.NoIndex.L002	47594.0	5.0
2192.H02a.Foot.848.lane5.NoIndex.L005	70464.0	5.0
2192.H03a.Kitchen.Floor.1346.lane5.NoIndex.L005	100686.0	59.0
2192.H03a.Nose.1284.lane6.NoIndex.L006	53041.0	4.0
2192.H05b.Foot.2696.lane5.NoIndex.L005	79277.0	39.0
2192.H05b.Front.Door.Knob.2813.lane6.NoIndex.L006	65585.0	34.0
2192.H01a.Hand.253.lane2.NoIndex.L002	98382.0	1.0
2192.H04a.Foot.1979.lane6.NoIndex.L006	80580.0	44.0
2192.H04a.Kitchen.Counter.1849.lane5.NoIndex.L005	117596.0	212.0
2192.H04a.Front.Door.Knob.1901.lane6.NoIndex.L006	75118.0	18.0
2192.H01a.Front.Door.Knob.149.lane1.NoIndex.L001	89150.0	40.0
2192.H04a.Hand.1933.lane6.NoIndex.L006	78544.0	20.0
2192.H01a.Hand.223.lane2.NoIndex.L002	82755.0	28.0
2192.H04a.Bathroom.Door.Knob.1830.lane5.NoIndex.L005	75327.0	74.0
2192.H03a.Kitchen.Light.Switch.1371.lane5.NoIndex.L005	92568.0	52.0
2192.H02a.Bathroom.Door.Knob.822.lane2.NoIndex.L002	52471.0	11.0
2192.H07b.Nose.3972.lane1.NoIndex.L001	122189.0	5.0
2192.H06b.Hand.3175.lane5.NoIndex.L005	72196.0	4.0
2192.H02a.Front.Door.Knob.773.lane2.NoIndex.L002	94175.0	100.0
2192.H06b.Hand.3151.lane5.NoIndex.L005	54163.0	24.0
2192.H06b.Kitchen.Floor.3098.lane1.NoIndex.L001	69981.0	7.0
2192.H02a.Hand.823.lane2.NoIndex.L002	60836.0	5.0
2192.H06b.Nose.3060.lane6.NoIndex.L006	86229.0	11.0
2192.H01a.Nose.297.lane6.NoIndex.L006	45015.0	1.0
2192.H04a.Kitchen.Floor.1874.lane6.NoIndex.L006	90787.0	28.0
2192.H01a.Foot.182.lane2.NoIndex.L002	92303.0	21.0
2192.H06b.Bedroom.Floor.3292.lane5.NoIndex.L005	67735.0	3.0
2192.H03a.Kitchen.Counter.1441.lane5.NoIndex.L005	98805.0	63.0
2192.H07b.Nose.4041.lane1.NoIndex.L001	126291.0	23.0
2192.H05b.Kitchen.Counter.2617.lane5.NoIndex.L005	72880.0	7.0
2192.H04a.Hand.1930.lane6.NoIndex.L006	75902.0	35.0
2192.H05b.Kitchen.Light.Switch.2979.lane1.NoIndex.L001	69993.0	4.0
2192.H02a.Bathroom.Door.Knob.630.lane2.NoIndex.L002	50500.0	20.0
2192.H03a.Kitchen.Floor.1442.lane5.NoIndex.L005	67780.0	6.0
2192.H02a.Kitchen.Light.Switch.627.lane2.NoIndex.L002	56498.0	10.0
2192.H03a.Hand.1333.lane6.NoIndex.L006	89846.0	466.0
2192.H05b.Kitchen.Counter.2521.lane5.NoIndex.L005	68140.0	168.0
2192.H04a.Kitchen.Light.Switch.2091.lane2.NoIndex.L002	70764.0	19.0
2192.H01a.Foot.305.lane2.NoIndex.L002	79969.0	3.0
2192.H04a.Front.Door.Knob.1925.lane6.NoIndex.L006	76424.0	227.0
2192.H04a.Nose.1935.lane6.NoIndex.L006	69080.0	200.0
2192.H04a.Nose.2103.lane5.NoIndex.L005	96155.0	1.0
2192.H06b.Kitchen.Floor.3338.lane5.NoIndex.L005	58882.0	1.0
2192.H03a.Kitchen.Light.Switch.1323.lane5.NoIndex.L005	106963.0	41.0
2192.H07a.Hand.3730.lane6.NoIndex.L006	88879.0	6.0
2192.H07a.Cat.Fur.3686.lane6.NoIndex.L006	85553.0	1.0
