	N	N_genus
990.KA3U.B.17	87662.0	9.0
990.KA3F.E.24	60907.0	16.0
990.KA2F.D.10	78445.0	3.0
990.KA3F.B.20	79937.0	3.0
990.KA1U.D.21	70835.0	5.0
990.KA1F.D.01	33510.0	3.0
990.KA2F.E.09	105419.0	3.0
990.KA3F.B.06	83860.0	8.0
990.KA2U.D.02	78309.0	10.0
990.KA3F.A.25	91298.0	7.0
990.KA1U.D.23	111754.0	10.0
990.KA3F.A.07	100909.0	19.0
990.KA3U.B.24	79699.0	4.0
990.KA3U.B.18	65367.0	5.0
990.KA2F.E.23	160610.0	13.0
990.KA1F.C.06	117201.0	22.0
990.KA2U.C.10	111421.0	5.0
990.KA3F.B.17	65504.0	3.0
990.KA3U.C.07	557525.0	11.0
990.KA1F.A.01	162238.0	9.0
990.KA3F.D.03	112945.0	5.0
990.KA1U.A.03	169478.0	4.0
990.KA3F.B.19	94149.0	4.0
990.KA3F.D.16	119232.0	22.0
990.KA2U.C.15	61023.0	1.0
990.KA3F.B.14	66020.0	2.0
990.KA1U.E.02	53549.0	5.0
990.KA3U.B.02	78326.0	3.0
990.KA1U.C.21	92662.0	5.0
990.KA2F.D.17	94311.0	11.0
990.KA2F.A.20	64552.0	1.0
990.KA2U.A.24	88792.0	6.0
990.KA1F.B.07	114278.0	14.0
990.KA3F.A.11	123950.0	25.0
990.KA2F.D.19	122340.0	4.0
990.KA1F.E.12	107601.0	25.0
990.KA2F.C.06	97338.0	15.0
990.KA3F.C.17	100801.0	7.0
990.KA1F.C.16	85806.0	4.0
990.KA1F.C.09	75232.0	6.0
990.KA2F.E.12	57692.0	13.0
990.KA1U.B.05	93517.0	8.0
990.KA3U.B.14	144062.0	4.0
990.KA2U.A.21	107864.0	3.0
990.KA2F.D.25	101390.0	1.0
990.KA3U.D.20	64354.0	7.0
990.KA2F.C.21	69179.0	3.0
990.KA1F.B.20	44918.0	9.0
990.KA1F.B.08	106819.0	13.0
990.KA3F.C.25	74987.0	9.0
990.KA1F.A.06	148356.0	13.0
990.KA1F.C.08	95761.0	8.0
990.KA2U.A.16	126290.0	26.0
990.KA2F.E.25	200864.0	26.0
990.KA2U.D.08	59457.0	1.0
990.KA3F.E.10	57689.0	11.0
990.KA2F.A.04	78793.0	1.0
990.KA2F.E.15	89019.0	6.0
990.KA1F.D.11	115954.0	17.0
990.KA2F.A.15	42705.0	3.0
990.KA1U.B.15	89056.0	13.0
990.KA3F.C.06	122098.0	5.0
990.KA3U.B.15	82433.0	5.0
990.KA2F.A.01	70584.0	4.0
990.KA1F.C.12	121015.0	5.0
990.KA3F.E.17	128169.0	24.0
990.KA1F.C.23	162915.0	7.0
990.KA2F.E.05	95172.0	4.0
990.KA3F.E.01	124910.0	17.0
990.KA3U.C.11	52013.0	7.0
990.KA2F.C.07	120848.0	18.0
990.KA2U.C.07	81146.0	2.0
990.KA1U.E.14	76436.0	7.0
990.KA1F.B.12	80506.0	2.0
990.KA1F.D.15	93131.0	24.0
990.KA3F.C.22	98321.0	12.0
990.KA3F.A.01	105796.0	8.0
990.KA3U.B.04	147409.0	9.0
990.KA3F.B.04	82820.0	1.0
990.KA2U.D.07	59687.0	15.0
990.KA1F.E.21	78504.0	20.0
990.KA2U.C.18	178125.0	4.0
990.KA3F.D.25	98770.0	22.0
990.KA2F.C.19	96863.0	5.0
990.KA3U.E.14	57573.0	3.0
990.KA1F.C.17	94542.0	11.0
990.KA3F.D.08	114869.0	4.0
990.KA2F.A.23	59170.0	7.0
990.KA3U.D.13	155116.0	8.0
990.KA3U.C.22	72950.0	4.0
990.KA3U.D.18	67689.0	5.0
990.KA3U.E.18	113594.0	1.0
990.KA2U.D.09	266522.0	9.0
990.KA2U.A.04	104798.0	1.0
990.KA2F.D.03	22668.0	1.0
990.KA2U.B.06	94713.0	2.0
990.KA2F.B.12	90023.0	4.0
990.KA3F.E.13	89997.0	7.0
990.KA3F.D.17	200187.0	39.0
990.KA1F.A.04	127132.0	6.0
990.KA1U.C.22	97929.0	1.0
990.KA3U.C.20	76749.0	6.0
990.KA3F.B.12	94167.0	3.0
990.KA2F.D.22	101332.0	18.0
990.KA2U.A.14	60994.0	4.0
990.KA3U.C.23	110247.0	2.0
990.KA1U.B.07	38789.0	5.0
990.KA2U.B.01	109318.0	5.0
990.KA1F.E.25	78156.0	8.0
990.KA1F.D.24	141562.0	14.0
990.KA3F.A.17	130273.0	17.0
990.KA3U.D.14	100275.0	4.0
990.KA1F.B.22	114450.0	19.0
990.KA3F.C.08	86152.0	26.0
990.KA2U.C.24	60682.0	1.0
990.KA1U.B.04	59970.0	4.0
990.KA2F.D.05	69046.0	3.0
990.KA1F.A.24	140250.0	8.0
990.KA2F.D.14	127313.0	9.0
990.KA1F.E.14	97807.0	11.0
990.KA3F.C.14	380657.0	120.0
990.KA1F.E.15	61854.0	15.0
990.KA3U.C.04	134036.0	10.0
990.KA2F.C.25	71324.0	5.0
990.KA1F.A.25	113782.0	2.0
990.KA2U.B.08	113508.0	17.0
990.KA3U.A.23	50401.0	2.0
990.KA2F.E.03	142586.0	5.0
990.KA2U.E.21	101250.0	3.0
990.KA3U.E.16	190623.0	3.0
990.KA3F.C.12	251804.0	12.0
990.KA3F.C.10	144653.0	67.0
990.KA2F.B.06	60119.0	3.0
990.KA2U.B.03	63575.0	8.0
990.KA1F.B.17	204763.0	21.0
990.KA2U.E.05	82385.0	4.0
990.KA3U.D.17	72666.0	8.0
990.KA1U.D.20	66573.0	2.0
990.KA3F.D.09	144806.0	8.0
990.KA2U.B.09	80671.0	5.0
990.KA2F.E.18	145244.0	11.0
990.KA2F.E.10	79782.0	4.0
990.KA3F.A.12	89403.0	6.0
990.KA3F.A.10	99630.0	21.0
990.KA3F.A.21	94252.0	20.0
990.KA2U.E.01	79999.0	3.0
990.KA2F.E.13	100343.0	1.0
990.KA1F.E.09	93440.0	12.0
990.KA3F.E.14	102284.0	17.0
990.KA2U.D.04	49144.0	2.0
990.KA3F.C.16	171227.0	7.0
990.KA3F.B.15	76961.0	3.0
990.KA1F.A.14	78626.0	5.0
990.KA1F.E.18	62043.0	4.0
990.KA3F.A.06	91979.0	2.0
990.KA2U.C.14	116386.0	3.0
990.KA1F.C.04	121173.0	9.0
990.KA2F.A.14	106769.0	2.0
990.KA1F.C.10	79664.0	11.0
990.KA3U.D.19	47937.0	3.0
990.KA2U.E.09	98981.0	13.0
990.KA2U.D.20	135795.0	4.0
990.KA3U.E.13	130489.0	16.0
990.KA3U.B.09	80422.0	1.0
990.KA1U.D.06	59113.0	1.0
990.KA3F.D.10	127101.0	12.0
990.KA1F.C.05	81457.0	10.0
990.KA3F.C.21	103622.0	8.0
990.KA2U.D.05	73439.0	10.0
990.KA2U.A.17	92248.0	4.0
990.KA1U.E.09	103164.0	12.0
990.KA1U.A.07	189429.0	17.0
990.KA2U.D.16	89728.0	4.0
990.KA1F.A.03	184190.0	12.0
990.KA1U.C.03	53650.0	2.0
990.KA3U.A.02	33285.0	4.0
990.KA2U.C.19	146414.0	10.0
990.KA2U.C.13	60928.0	5.0
990.KA2F.B.07	48195.0	3.0
990.KA3F.B.21	80558.0	4.0
990.KA1F.A.23	85347.0	11.0
990.KA1F.B.02	131532.0	10.0
990.KA1F.B.06	95107.0	7.0
990.KA2F.D.12	70608.0	2.0
990.KA3F.A.02	74891.0	6.0
990.KA2F.A.09	116059.0	9.0
990.KA2U.B.16	56733.0	7.0
990.KA3F.D.04	145951.0	17.0
990.KA3F.D.01	85400.0	13.0
990.KA3F.C.05	166014.0	30.0
990.KA3F.D.21	346818.0	60.0
990.KA3U.E.01	110522.0	3.0
990.KA3F.C.19	109209.0	30.0
990.KA1U.B.23	76313.0	2.0
990.KA2F.D.18	81084.0	4.0
990.KA2F.B.02	79605.0	3.0
990.KA1U.B.18	34284.0	1.0
990.KA3F.B.16	98441.0	1.0
990.KA1U.A.23	126863.0	26.0
990.KA1F.A.12	91006.0	3.0
990.KA3U.A.05	95864.0	7.0
990.KA3U.A.20	90620.0	8.0
990.KA3F.C.13	65252.0	1.0
990.KA1U.E.24	80442.0	7.0
990.KA1F.E.06	90252.0	11.0
990.KA1F.E.10	136659.0	68.0
990.KA2F.A.17	319731.0	8.0
990.KA3F.C.11	160455.0	8.0
990.KA2F.B.22	77333.0	4.0
990.KA1F.C.25	75424.0	5.0
990.KA3U.C.18	125335.0	2.0
990.KA2U.D.18	119348.0	2.0
990.KA1F.D.18	132474.0	10.0
990.KA3U.B.22	169266.0	8.0
990.KA1F.A.21	190998.0	35.0
990.KA1F.C.24	130652.0	5.0
990.KA1F.A.22	113902.0	5.0
990.KA3F.C.03	2750.0	3.0
990.KA2F.C.15	96934.0	8.0
990.KA1U.E.07	119384.0	6.0
990.KA1F.A.11	112895.0	4.0
990.KA2F.A.03	92997.0	3.0
990.KA2F.C.17	75300.0	3.0
990.KA2F.E.17	123985.0	8.0
990.KA3U.C.19	250159.0	11.0
990.KA2F.B.03	87631.0	1.0
990.KA3U.A.08	143761.0	3.0
990.KA1F.B.13	67699.0	6.0
990.KA3F.C.07	138445.0	11.0
990.KA2F.E.02	132698.0	9.0
990.KA3U.C.14	56737.0	2.0
990.KA1F.D.06	28191.0	2.0
990.KA2U.A.01	44841.0	1.0
990.KA3F.E.09	155448.0	20.0
990.KA1U.C.13	60938.0	2.0
990.KA3U.E.09	105307.0	4.0
990.KA2F.A.22	62164.0	6.0
990.KA1F.E.01	59498.0	3.0
990.KA1U.D.22	50353.0	2.0
990.KA2U.C.05	77235.0	2.0
990.KA1F.C.14	66709.0	4.0
990.KA2U.A.19	104704.0	10.0
990.KA2F.E.07	114756.0	18.0
990.KA1F.D.20	84203.0	3.0
990.KA2F.E.16	66056.0	10.0
990.KA2U.E.14	80805.0	4.0
990.KA2F.B.21	99057.0	4.0
990.KA1F.A.13	185076.0	8.0
990.KA1U.A.05	74130.0	7.0
990.KA3F.A.22	30782.0	3.0
990.KA3U.E.25	178242.0	13.0
990.KA2F.C.02	129359.0	5.0
990.KA3U.D.24	110612.0	8.0
990.KA2U.B.07	122052.0	18.0
990.KA1U.C.09	101309.0	7.0
990.KA3F.E.11	295993.0	43.0
990.KA1U.E.04	73938.0	5.0
990.KA1F.E.16	76926.0	21.0
990.KA3U.E.04	48417.0	2.0
990.KA2F.E.20	67206.0	2.0
990.KA2F.A.24	80953.0	1.0
990.KA3F.E.18	112130.0	7.0
990.KA3U.B.13	102774.0	7.0
990.KA2U.D.03	80359.0	10.0
990.KA3F.C.09	67614.0	2.0
990.KA3F.A.05	58583.0	3.0
990.KA1F.B.01	39512.0	4.0
990.KA1F.B.19	96318.0	11.0
990.KA2U.D.21	59585.0	1.0
990.KA1U.B.13	76055.0	4.0
990.KA1U.A.18	85356.0	2.0
990.KA3F.E.21	94199.0	22.0
990.KA1U.A.15	89330.0	4.0
990.KA3U.C.09	51992.0	3.0
990.KA3F.A.14	82480.0	10.0
990.KA3F.A.20	76598.0	7.0
990.KA2U.E.20	80491.0	2.0
990.KA3F.E.19	139562.0	16.0
990.KA3F.B.22	78295.0	2.0
990.KA2F.A.19	67861.0	2.0
990.KA3F.B.24	106180.0	4.0
990.KA3F.E.16	25434.0	1.0
990.KA3U.B.10	100448.0	7.0
990.KA1F.D.08	150297.0	10.0
990.KA3U.A.04	69823.0	2.0
990.KA3F.A.13	63628.0	5.0
990.KA2F.C.22	140079.0	7.0
990.KA1U.E.19	87167.0	12.0
990.KA3F.C.23	62580.0	15.0
990.KA3U.B.08	110570.0	12.0
990.KA1U.B.17	103113.0	18.0
990.KA3U.E.11	93337.0	4.0
990.KA1U.B.10	96995.0	27.0
990.KA1U.B.16	56130.0	16.0
990.KA2U.B.02	99982.0	8.0
990.KA1U.E.18	143558.0	11.0
990.KA1U.D.24	129470.0	14.0
990.KA3F.C.20	100506.0	24.0
990.KA2F.E.22	130746.0	11.0
990.KA2U.B.24	112651.0	10.0
990.KA3U.B.21	50467.0	1.0
990.KA2F.C.20	73676.0	5.0
990.KA3U.D.15	157171.0	18.0
990.KA1U.C.23	85523.0	5.0
990.KA1U.D.11	120430.0	4.0
990.KA1F.D.05	87291.0	1.0
990.KA1F.E.08	110989.0	30.0
990.KA1U.A.25	83308.0	6.0
990.KA2U.D.17	88219.0	23.0
990.KA2F.D.24	104382.0	7.0
990.KA1U.A.02	141517.0	18.0
990.KA2F.C.12	73391.0	1.0
990.KA1U.B.25	45065.0	1.0
990.KA3U.E.10	186106.0	1.0
990.KA1U.D.08	73210.0	4.0
990.KA3U.C.16	132673.0	6.0
990.KA1U.D.18	82341.0	6.0
990.KA1U.E.08	101594.0	11.0
990.KA2U.C.02	67286.0	5.0
990.KA2U.D.19	64759.0	3.0
990.KA2F.C.24	144538.0	10.0
990.KA3F.E.06	104513.0	14.0
990.KA2U.D.06	77320.0	11.0
990.KA2U.C.17	92908.0	5.0
990.KA1U.D.25	149592.0	11.0
990.KA3U.D.08	64885.0	1.0
990.KA1F.B.15	165071.0	14.0
990.KA2F.D.02	73989.0	2.0
990.KA3F.B.07	91441.0	4.0
990.KA3U.D.07	64390.0	1.0
990.KA3U.B.12	311763.0	14.0
990.KA1U.C.07	60106.0	1.0
990.KA2U.E.16	105882.0	5.0
990.KA2F.E.24	87170.0	3.0
990.KA2U.A.05	105909.0	6.0
990.KA3U.B.07	40403.0	1.0
990.KA3F.E.23	64190.0	5.0
990.KA2U.A.03	83175.0	24.0
990.KA2U.E.07	51285.0	2.0
990.KA3U.E.02	81967.0	6.0
990.KA1U.C.04	54488.0	8.0
990.KA1U.C.24	80471.0	3.0
990.KA1U.A.04	85974.0	2.0
990.KA1U.D.07	113472.0	4.0
990.KA3F.D.20	61807.0	8.0
990.KA1U.D.14	115712.0	5.0
990.KA1U.D.04	97562.0	5.0
990.KA3F.D.19	82659.0	23.0
990.KA3U.D.23	202312.0	15.0
990.KA1U.D.17	92720.0	4.0
990.KA1U.A.24	56510.0	5.0
990.KA3U.E.19	110499.0	8.0
990.KA3F.E.04	116193.0	7.0
990.KA1F.E.03	70185.0	9.0
990.KA1U.B.09	84608.0	2.0
990.KA2F.E.19	84904.0	6.0
990.KA3F.E.22	64859.0	10.0
990.KA1U.B.20	96233.0	7.0
990.KA2U.E.12	90927.0	16.0
990.KA1U.A.13	104674.0	3.0
990.KA3F.A.18	62685.0	17.0
990.KA1F.D.22	114598.0	4.0
990.KA3U.A.19	131796.0	9.0
990.KA2F.C.10	84931.0	4.0
990.KA2U.C.08	20489.0	1.0
990.KA3F.D.12	99997.0	21.0
990.KA2U.D.15	152729.0	4.0
990.KA1U.C.18	91713.0	3.0
990.KA2U.A.23	104550.0	4.0
990.KA2U.B.23	166462.0	10.0
990.KA1U.A.21	187495.0	35.0
990.KA1U.E.01	67311.0	1.0
990.KA2F.A.11	89597.0	4.0
990.KA3F.E.03	335971.0	25.0
990.KA3U.D.10	111203.0	18.0
990.KA1F.E.04	78583.0	13.0
990.KA3F.B.18	76589.0	10.0
990.KA3U.E.06	88722.0	2.0
990.KA2F.A.16	108399.0	9.0
990.KA2U.A.10	158801.0	16.0
990.KA2F.B.18	115633.0	12.0
990.KA2U.A.22	108126.0	5.0
990.KA3F.E.20	62820.0	12.0
990.KA1U.B.02	90628.0	5.0
2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences	398822.0	16.0
2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences	204040.0	7.0
2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences	78039.0	2.0
2382.SH008.C6.HA.5.747.rhizo.9.12.lane7.NoIndex.L007.sequences	68051.0	12.0
2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences	230816.0	3.0
2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences	357022.0	11.0
2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences	66132.0	3.0
2382.MU002.C3.HA.5.496.r1.bulk.4.12.lane7.NoIndex.L007.sequences	62774.0	37.0
2382.HE003.C181.HA.4.566.r1.bulk.4.12.lane7.NoIndex.L007.sequences	72928.0	10.0
2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences	435568.0	34.0
2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences	75470.0	4.0
2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences	235111.0	1.0
2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences	63787.0	3.0
2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences	66419.0	11.0
2382.SH005.C3.RH.5.471.bulk.4.12.lane7.NoIndex.L007.sequences	68212.0	28.0
2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences	50220.0	3.0
2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences	52018.0	7.0
2382.SH005.C3.RH.5.671.bulk.9.12.lane7.NoIndex.L007.sequences	77140.0	8.0
2382.SH004.C1.RH.3.411.bulk.4.12.lane7.NoIndex.L007.sequences	82028.0	14.0
2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences	55498.0	15.0
2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences	79849.0	3.0
2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences	448904.0	55.0
2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences	69901.0	5.0
2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences	66702.0	3.0
2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences	88908.0	11.0
2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences	204488.0	3.0
2382.SH008.C6.HA.5.746.bulk.9.12.lane7.NoIndex.L007.sequences	78197.0	8.0
2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences	65764.0	5.0
2382.SH005.C3.RH.1.651.bulk.9.12.lane7.NoIndex.L007.sequences	82571.0	3.0
2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences	82094.0	1.0
2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences	67180.0	7.0
2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences	79222.0	7.0
2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences	65535.0	2.0
2382.MU002.C3.HA.5.696.bulk.9.12.lane7.NoIndex.L007.sequences	85993.0	15.0
2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences	70401.0	2.0
2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences	60639.0	2.0
2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences	58866.0	8.0
2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences	104632.0	24.0
2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences	74174.0	8.0
2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences	63380.0	2.0
2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences	74045.0	6.0
2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences	111993.0	3.0
2382.SH008.C6.HA.3.736.bulk.9.12.lane7.NoIndex.L007.sequences	84082.0	12.0
2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences	76727.0	9.0
2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences	63680.0	2.0
2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences	72576.0	3.0
2382.HE003.C181.HA.4.766.bulk.9.12.lane7.NoIndex.L007.sequences	86342.0	10.0
2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences	92056.0	6.0
2382.GM.181.R5.bulk.10.12.lane7.NoIndex.L007.sequences	440332.0	127.0
2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences	56351.0	1.0
2382.SH004.C1.RH.1.401.bulk.4.12.lane7.NoIndex.L007.sequences	91158.0	7.0
2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences	85630.0	10.0
2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences	243403.0	18.0
2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences	80531.0	5.0
2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences	69581.0	12.0
2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences	66236.0	3.0
2382.DPOO1.C1.HA.1.626.bulk.9.12.lane7.NoIndex.L007.sequences	87208.0	16.0
2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences	59938.0	1.0
2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences	81702.0	8.0
2382.SH004.C1.RH.5.621.bulk.9.12.lane7.NoIndex.L007.sequences	84238.0	4.0
2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences	74803.0	1.0
2382.RU006.C181.RH.5.796.bulk.9.12.lane7.NoIndex.L007.sequences	84291.0	4.0
2382.DPOO1.C1.HA.4.641.bulk.9.12.lane7.NoIndex.L007.sequences	85064.0	16.0
2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences	76471.0	12.0
2382.SH008.C6.HA.1.SH008.soil.bulk.9.12.lane7.NoIndex.L007.sequences	72732.0	5.0
2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences	73959.0	5.0
2382.SH004.C1.RH.4.616.bulk.9.12.lane7.NoIndex.L007.sequences	81103.0	7.0
2382.SH007.C6.RH.2.706.bulk.9.12.lane7.NoIndex.L007.sequences	75885.0	6.0
2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences	224036.0	6.0
2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences	71274.0	16.0
2382.SH007.C6.RH.2.506.bulk.4.12.lane7.NoIndex.L007.sequences	81628.0	55.0
2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences	97691.0	8.0
2382.SH007.C6.RH.4.516.bulk.4.12.lane7.NoIndex.L007.sequences	65093.0	7.0
2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences	56106.0	7.0
2382.GM.181.R3.bulk.10.12.lane7.NoIndex.L007.sequences	458904.0	272.0
2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences	84602.0	1.0
2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences	65936.0	4.0
2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences	85932.0	15.0
2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences	69931.0	2.0
2382.HE003.C181.HA.1.751.bulk.9.12.lane7.NoIndex.L007.sequences	88622.0	15.0
2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences	64621.0	3.0
2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences	76655.0	2.0
2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences	56813.0	8.0
2382.DPOO1.C1.HA.5.650.gp.9.12.lane8.NoIndex.L008.sequences	221272.0	1.0
2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences	164208.0	9.0
2382.MU002.C3.HA.1.676.bulk.9.12.lane7.NoIndex.L007.sequences	82698.0	15.0
2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences	77936.0	6.0
2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences	68217.0	1.0
2382.SH005.C3.RH.2.656.bulk.9.12.lane7.NoIndex.L007.sequences	78710.0	5.0
2382.HE003.C181.HA.3.761.bulk.9.12.lane7.NoIndex.L007.sequences	70299.0	9.0
2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences	87512.0	19.0
2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences	70880.0	1.0
2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences	60541.0	4.0
2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences	80597.0	6.0
2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences	53582.0	3.0
2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences	70618.0	2.0
2382.DPOO1.C1.HA.5.646.bulk.9.12.lane7.NoIndex.L007.sequences	84037.0	11.0
2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences	65633.0	15.0
2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences	85625.0	7.0
2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences	63514.0	2.0
2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences	154579.0	3.0
2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences	66398.0	1.0
2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences	230864.0	1.0
2382.DPOO1.C1.HA.4.644.leav.9.12.lane8.NoIndex.L008.sequences	106666.0	1.0
2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences	57423.0	7.0
2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences	108336.0	3.0
2382.SH005.C3.RH.4.670.gp.9.12.lane8.NoIndex.L008.sequences	237500.0	1.0
2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences	35360.0	3.0
2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences	246311.0	4.0
2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences	293847.0	5.0
2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences	459452.0	58.0
2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences	105962.0	4.0
2382.SH008.C6.HA.2.734.leav.9.12.lane8.NoIndex.L008.sequences	128509.0	1.0
2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences	66065.0	7.0
2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences	108968.0	3.0
2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences	54598.0	5.0
2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences	73984.0	1.0
2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences	63322.0	3.0
2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences	60900.0	2.0
2382.SH007.C6.RH.1.701.bulk.9.12.lane7.NoIndex.L007.sequences	90649.0	5.0
2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences	86688.0	1.0
2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences	71524.0	3.0
2382.SH008.C6.HA.4.741.bulk.9.12.lane7.NoIndex.L007.sequences	80769.0	4.0
2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences	233141.0	15.0
