	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	temp
10145.7th.5B	253642.0	2231	2.0	1	0.0	0	10.1
10145.7th.5C	186117.0	1879	1.0	1	1.0	1	10.1
10145.7th.5C	3.0	3	3.0	3	3.0	3	10.1
10145.7th.5C	186117.0	1879	1.0	1	1.0	1	10.1
10145.NB.1A	102331.0	1564	41.0	1	0.0	0	13.2
10145.NB.1A	46.0	1	46.0	1	46.0	1	13.2
10145.NB.1A	102331.0	1564	41.0	1	0.0	0	13.2
10145.NB.1B	76937.0	1361	1.0	1	1.0	1	12.9
10145.NB.1B	10.0	1	10.0	1	10.0	1	12.9
10145.NB.1B	76937.0	1361	1.0	1	1.0	1	12.9
10145.NB.1C	83070.0	1499	7.0	2	0.0	0	13.0
10145.NB.1C	83070.0	1499	7.0	2	0.0	0	13.0
10145.NB.2B	80161.0	1128	135.0	4	0.0	0	13.0
10145.NB.2B	80161.0	1128	135.0	4	0.0	0	13.0
10145.NB.3A	102.0	63	2.0	2	0.0	0	10.5
10145.NB.3A	102.0	63	2.0	2	0.0	0	10.5
10145.NB.3B	65194.0	1004	73.0	3	0.0	0	10.3
10145.NB.3B	65194.0	1004	73.0	3	0.0	0	10.3
10145.NB.3C	26333.0	373	96.0	1	0.0	0	10.3
10145.NB.3C	26333.0	373	96.0	1	0.0	0	10.3
10145.NB.4A	79114.0	959	32.0	1	0.0	0	10.2
10145.NB.4A	79114.0	959	32.0	1	0.0	0	10.2
10145.NB.4B	143681.0	2329	61.0	1	0.0	0	10.2
10145.NB.4B	143681.0	2329	61.0	1	0.0	0	10.2
10145.NB.5A	206362.0	2279	21.0	3	0.0	0	10.2
10145.NB.5A	206362.0	2279	21.0	3	0.0	0	10.2
10145.NB.5B	226871.0	2304	10.0	4	0.0	0	10.2
10145.NB.5B	4.0	2	4.0	2	4.0	2	10.2
10145.NB.5B	226871.0	2304	10.0	4	0.0	0	10.2
10145.NB.5C	244450.0	2366	1.0	1	0.0	0	10.2
10145.NB.5C	244450.0	2366	1.0	1	0.0	0	10.2
10145.WB.1.5A.SO	216847.0	3650	2.0	2	1.0	1	14.8
10145.WB.1.5B.SO	193968.0	3518	1.0	1	1.0	1	15.2
10145.WB.1.5B.SO	3.0	3	3.0	3	3.0	3	15.2
10145.WB.1.5C	10715.0	256	30.0	3	4.0	1	15.2
10145.WB.1.5C	10715.0	256	30.0	3	4.0	1	15.2
10145.WB.1.5C.SO	5.0	4	5.0	4	5.0	4	15.2
10145.WB.1A	23581.0	320	6.0	2	0.0	0	17.2
10145.WB.1A	23581.0	320	6.0	2	0.0	0	17.2
10145.WB.1A.SO	160192.0	3169	1.0	1	10.0	2	17.2
10145.WB.1A.SO	6.0	6	6.0	6	6.0	6	17.2
10145.WB.1B.SO	182871.0	3358	1.0	1	3.0	2	16.9
10145.WB.1C	4010.0	210	152.0	6	0.0	0	16.5
10145.WB.1C	4010.0	210	152.0	6	0.0	0	16.5
10145.WB.1C.SO	142393.0	2966	2.0	1	4.0	3	16.5
10145.WB.1C.SO	1.0	1	1.0	1	1.0	1	16.5
10145.WB.2A.SO	1.0	1	1.0	1	1.0	1	14.7
10145.WB.2B	275.0	81	3.0	2	0.0	0	14.6
10145.WB.2B	275.0	81	3.0	2	0.0	0	14.6
10145.WB.2B.SO	3.0	3	3.0	3	3.0	3	14.6
10145.WB.2C	3550.0	239	156.0	6	0.0	0	14.4
10145.WB.2C	3550.0	239	156.0	6	0.0	0	14.4
10145.WB.2C.SO	114162.0	3183	0.0	0	1.0	1	14.4
10145.WB.2C.SO	2.0	2	2.0	2	2.0	2	14.4
10145.WB.3A.SO	139241.0	3453	1.0	1	0.0	0	13.2
10145.WB.3A.SO	1.0	1	1.0	1	1.0	1	13.2
10145.WB.3B	153205.0	3283	2.0	1	0.0	0	12.5
10145.WB.3B	153205.0	3283	2.0	1	0.0	0	12.5
10145.WB.3B.SO	4.0	4	4.0	4	4.0	4	12.5
10145.WB.3C	152261.0	3490	1.0	1	0.0	0	12.3
10145.WB.3C	152261.0	3490	1.0	1	0.0	0	12.3
10145.WB.3C.SO	175091.0	3819	3.0	3	2.0	1	12.3
10145.WB.3C.SO	2.0	1	2.0	1	2.0	1	12.3
10145.WB.4A	204080.0	3194	10.0	1	1.0	1	12.8
10145.WB.4A	2.0	1	2.0	1	2.0	1	12.8
10145.WB.4A	204080.0	3194	10.0	1	1.0	1	12.8
10145.WB.4A.SO	6.0	3	6.0	3	6.0	3	12.8
10145.WB.4B	93361.0	3134	1595.0	25	0.0	0	12.8
10145.WB.4B	93361.0	3134	1595.0	25	0.0	0	12.8
10145.WB.4B.SO	156731.0	3764	1.0	1	2.0	1	12.8
10145.WB.4B.SO	1.0	1	1.0	1	1.0	1	12.8
10145.WB.4C	191471.0	2615	12.0	2	0.0	0	12.8
10145.WB.4C	1.0	1	1.0	1	1.0	1	12.8
10145.WB.4C	191471.0	2615	12.0	2	0.0	0	12.8
10145.WB.4C.SO	245581.0	4239	2.0	2	1.0	1	12.8
10145.WB.4C.SO	4.0	1	4.0	1	4.0	1	12.8
10145.WB.5A	299342.0	2578	1.0	1	1.0	1	12.8
10145.WB.5A	1.0	1	1.0	1	1.0	1	12.8
10145.WB.5A	299342.0	2578	1.0	1	1.0	1	12.8
10145.WB.5B	270027.0	2681	1.0	1	1.0	1	12.8
10145.WB.5B	11.0	3	11.0	3	11.0	3	12.8
10145.WB.5B	270027.0	2681	1.0	1	1.0	1	12.8
10145.WB.5C	235195.0	2413	0.0	0	1.0	1	12.8
10145.WB.5C	1.0	1	1.0	1	1.0	1	12.8
10145.WB.5C	235195.0	2413	0.0	0	1.0	1	12.8
10180.A10I	139623.0	3828	357.0	4	98.0	3	21.0
10180.A10III	14116.0	1790	58.0	4	2.0	2	21.0
